Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Friday 6 October 2023,06:00,Clear,14°,4,82%,1025 hPa
Friday 6 October 2023,06:30,Clear,14°,4,82%,1025 hPa
Friday 6 October 2023,07:00,Clear,14°,4,77%,1026 hPa
Friday 6 October 2023,07:30,Clear,14°,2,77%,1026 hPa
Friday 6 October 2023,08:00,Clear,13°,Calm,82%,1026 hPa
Friday 6 October 2023,08:30,Clear,13°,6,82%,1026 hPa
Friday 6 October 2023,09:00,Clear,14°,2,82%,1026 hPa
Friday 6 October 2023,09:30,Clear,15°,4,77%,1027 hPa
Friday 6 October 2023,10:00,Clear,17°,2,68%,1027 hPa
Friday 6 October 2023,10:30,Clear,18°,2,68%,1027 hPa
Friday 6 October 2023,11:00,Clear,20°,Calm,56%,1027 hPa
Friday 6 October 2023,11:30,Clear,22°,Calm,57%,1027 hPa
Friday 6 October 2023,12:00,Clear,23°,2,50%,1027 hPa
Friday 6 October 2023,12:30,Clear,25°,2,41%,1027 hPa
Friday 6 October 2023,13:00,Clear,27°,Calm,39%,1027 hPa
Friday 6 October 2023,13:30,Clear,28°,2,35%,1026 hPa
Friday 6 October 2023,14:00,Clear,29°,4,29%,1026 hPa
Friday 6 October 2023,14:30,Clear,30°,4,25%,1025 hPa
Friday 6 October 2023,15:00,Clear,30°,4,25%,1025 hPa
Friday 6 October 2023,15:30,Clear,31°,6,24%,1025 hPa
Friday 6 October 2023,16:00,Clear,31°,4,26%,1025 hPa
Friday 6 October 2023,16:30,Clear,31°,4,22%,1024 hPa
Friday 6 October 2023,17:00,Clear,32°,Calm,24%,1024 hPa
Friday 6 October 2023,17:30,Clear,32°,2,23%,1024 hPa
Friday 6 October 2023,18:00,Clear,31°,4,21%,1024 hPa
Friday 6 October 2023,18:30,Clear,32°,Calm,26%,1024 hPa
Friday 6 October 2023,19:00,Clear,30°,Calm,35%,1024 hPa
Friday 6 October 2023,19:30,Clear,28°,4,35%,1024 hPa
Friday 6 October 2023,20:00,Clear,26°,9,37%,1024 hPa
Friday 6 October 2023,20:30,Clear,25°,7,39%,1024 hPa
Friday 6 October 2023,21:00,Clear,22°,7,46%,1024 hPa
Friday 6 October 2023,21:30,Clear,21°,7,53%,1024 hPa
Friday 6 October 2023,22:00,Clear,21°,Calm,49%,1024 hPa
Friday 6 October 2023,22:30,Clear,21°,6,49%,1025 hPa
Friday 6 October 2023,23:00,Clear,21°,7,49%,1025 hPa
Friday 6 October 2023,23:30,Clear,19°,13,56%,1025 hPa
Saturday 7 October 2023,00:00,Clear,18°,4,59%,1025 hPa
Saturday 7 October 2023,00:30,Clear,18°,7,59%,1025 hPa
Saturday 7 October 2023,01:00,Clear,18°,4,59%,1025 hPa
Saturday 7 October 2023,01:30,Clear,17°,4,59%,1025 hPa
Saturday 7 October 2023,02:00,Clear,16°,6,68%,1025 hPa
Saturday 7 October 2023,02:30,Clear,16°,7,63%,1025 hPa
Saturday 7 October 2023,03:00,Clear,16°,7,63%,1025 hPa
Saturday 7 October 2023,03:30,Clear,15°,7,67%,1025 hPa
Saturday 7 October 2023,04:00,Clear,15°,6,67%,1025 hPa
Saturday 7 October 2023,04:30,Clear,15°,6,67%,1025 hPa
Saturday 7 October 2023,05:00,Clear,14°,6,67%,1025 hPa
Saturday 7 October 2023,05:30,Clear,14°,7,67%,1025 hPa
Saturday 7 October 2023,06:00,Clear,14°,6,67%,1025 hPa
Saturday 7 October 2023,06:30,Clear,13°,4,72%,1025 hPa
Saturday 7 October 2023,07:00,Clear,14°,6,72%,1025 hPa
Saturday 7 October 2023,07:30,Clear,13°,6,72%,1025 hPa
Saturday 7 October 2023,08:00,Clear,13°,6,72%,1025 hPa
Saturday 7 October 2023,08:30,Clear,13°,7,72%,1026 hPa
Saturday 7 October 2023,09:00,Clear,14°,4,72%,1026 hPa
Saturday 7 October 2023,09:30,Clear,15°,4,67%,1026 hPa
Saturday 7 October 2023,10:00,Clear,16°,2,63%,1027 hPa
Saturday 7 October 2023,10:30,Clear,17°,7,59%,1027 hPa
Saturday 7 October 2023,11:00,Clear,19°,7,56%,1027 hPa
Saturday 7 October 2023,11:30,Clear,21°,6,53%,1027 hPa
Saturday 7 October 2023,12:00,Clear,23°,7,47%,1027 hPa
Saturday 7 October 2023,12:30,Clear,24°,6,44%,1027 hPa
Saturday 7 October 2023,13:00,Clear,26°,4,39%,1026 hPa
Saturday 7 October 2023,13:30,Clear,26°,4,39%,1026 hPa
Saturday 7 October 2023,14:00,Clear,27°,4,34%,1026 hPa
Saturday 7 October 2023,14:30,Clear,28°,2,32%,1025 hPa
Saturday 7 October 2023,15:00,Clear,29°,2,31%,1025 hPa
Saturday 7 October 2023,15:30,Clear,29°,6,27%,1025 hPa
Saturday 7 October 2023,16:00,Clear,30°,4,27%,1025 hPa
Saturday 7 October 2023,16:30,Clear,30°,4,27%,1024 hPa
Saturday 7 October 2023,17:00,Clear,31°,4,24%,1024 hPa
Saturday 7 October 2023,17:30,Clear,31°,6,22%,1024 hPa
Saturday 7 October 2023,18:00,Clear,31°,4,22%,1024 hPa
Saturday 7 October 2023,18:30,Clear,31°,2,22%,1024 hPa
Saturday 7 October 2023,19:00,Clear,30°,6,24%,1024 hPa
Saturday 7 October 2023,19:30,Clear,28°,6,30%,1024 hPa
Saturday 7 October 2023,20:00,Clear,26°,4,30%,1024 hPa
Saturday 7 October 2023,20:30,Clear,24°,7,38%,1024 hPa
Saturday 7 October 2023,21:00,Clear,23°,6,41%,1024 hPa
Saturday 7 October 2023,21:30,Clear,22°,9,43%,1025 hPa
Saturday 7 October 2023,22:00,Clear,21°,9,53%,1025 hPa
Saturday 7 October 2023,22:30,Clear,20°,7,56%,1025 hPa
Saturday 7 October 2023,23:00,Clear,20°,7,53%,1025 hPa
Saturday 7 October 2023,23:30,Clear,19°,7,56%,1025 hPa
Sunday 8 October 2023,00:00,Clear,19°,6,56%,1025 hPa
Sunday 8 October 2023,00:30,Clear,18°,6,59%,1025 hPa
Sunday 8 October 2023,01:00,Clear,18°,6,56%,1025 hPa
Sunday 8 October 2023,01:30,Clear,18°,7,56%,1025 hPa
Sunday 8 October 2023,02:00,Clear,16°,4,68%,1025 hPa
Sunday 8 October 2023,02:30,Clear,16°,Calm,63%,1025 hPa
Sunday 8 October 2023,03:00,Clear,16°,Calm,63%,1025 hPa
Sunday 8 October 2023,03:30,Clear,15°,6,67%,1025 hPa
Sunday 8 October 2023,04:00,Clear,15°,6,67%,1025 hPa
Sunday 8 October 2023,04:30,Clear,15°,6,67%,1025 hPa
Sunday 8 October 2023,05:00,Clear,14°,6,67%,1025 hPa
Sunday 8 October 2023,05:30,Clear,14°,6,67%,1025 hPa
Sunday 8 October 2023,06:00,Clear,13°,6,72%,1025 hPa
Sunday 8 October 2023,06:30,Clear,13°,6,72%,1025 hPa
